Id,SalePrice
1461,121994.59173022879
1462,159353.65023599353
1463,186589.31635608204
1464,196639.7789734413
1465,190070.9662691369
1466,171661.5846205032
1467,175964.0718056209
1468,164283.37854180628
1469,193487.92605648845
1470,124239.65074012055
1471,187121.5214165446
1472,95897.0148816864
1473,96245.62175325646
1474,147631.080886437
1475,111707.22408396048
1476,365144.295591107
1477,249184.86613521076
1478,291027.5490602821
1479,282034.310507006
1480,494895.193388902
1481,328715.03793373576
1482,209200.7302825367
1483,178491.5497919662
1484,162138.5681873783
1485,186163.5919982195
1486,196057.29113514238
1487,332888.7691096697
1488,233965.193021682
1489,192155.2721216881
1490,229424.833073799
1491,194051.07751342634
1492,95361.68748856761
1493,184336.41538545417
1494,288999.99059228133
1495,291924.23600740184
1496,229603.2932240447
1497,186377.58777442004
1498,167740.99312567743
1499,161936.02613655344
1500,160786.5073784369
1501,175940.1867177004
1502,145263.1634973793
1503,287198.20394229854
1504,240410.95794011076
1505,221511.45250858623
1506,193569.86553853974
1507,248719.86439093802
1508,199288.62636815026
1509,161049.7586976058
1510,146905.44384091362
1511,151064.62344303454
1512,175855.07426812346
1513,145224.47515662314
1514,158839.5645169163
1515,193408.7202623033
1516,148446.7924994299
1517,169331.2848564363
1518,131385.3810111098
1519,209758.15315751862
1520,131442.4721699634
1521,135187.21075893918
1522,172319.86929863866
1523,115878.86296360177
1524,127927.80574686955
1525,122810.39376268357
1526,115586.7443929587
1527,108338.94972889735
1528,134096.53921984383
1529,151565.7540622062
1530,181508.80102016949
1531,107667.42445131429
1532,96632.76460260712
1533,149524.28851589898
1534,118904.0714123981
1535,149856.94507509813
1536,108879.43792479143
1537,61161.06021738816
1538,159048.5935271439
1539,193276.63626841022
1540,99997.18598951565
1541,143705.45593603072
1542,140566.95372196156
1543,196026.77165003066
1544,82890.91615202883
1545,113717.18938899778
1546,130431.15426639572
1547,131052.96185305221
1548,136666.87158285815
1549,117322.16752659203
1550,133389.9575943916
1551,110829.38061087953
1552,135642.59798427153
1553,144080.7929303686
1554,120295.71369575876
1555,164715.6303182362
1556,83925.77610486446
1557,111354.27747343828
1558,97860.10463984699
1559,74142.92854486115
1560,135006.88630029655
1561,135507.22719353426
1562,130524.27362845797
1563,123796.61294461861
1564,155497.6542049546
1565,147990.05753419877
1566,245812.12200856805
1567,76787.3461012342
1568,229180.47780580193
1569,130908.20351722307
1570,139584.51959525267
1571,119348.34148864576
1572,145555.1141246744
1573,241719.086075359
1574,124526.79388944956
1575,231144.3383807429
1576,242064.9595801324
1577,183099.69016661352
1578,141404.64232363083
1579,147009.9830413736
1580,191312.83757831773
1581,153608.85436185566
1582,125643.75639521176
1583,307102.65834598267
1584,219693.2505677064
1585,139596.31824326716
1586,68439.97309084637
1587,102367.46648635354
1588,154527.24692863852
1589,102003.29771178817
1590,134773.93658411907
1591,96012.00393088837
1592,122346.18474640998
1593,123097.34169791124
1594,128844.22068909578
1595,112749.21663390221
1596,228993.00877075398
1597,185386.05546354744
1598,217650.12095057743
1599,169833.4409073489
1600,162968.34883203037
1601,66836.80581318188
1602,115197.54024930211
1603,77952.2497271347
1604,273348.64147224097
1605,246837.43986793104
1606,169298.91763416864
1607,177425.32775442814
1608,211200.24981420278
1609,178268.4281433084
1610,148560.23767413056
1611,140977.68034025628
1612,170798.22023790158
1613,167183.8459815742
1614,128069.56329701211
1615,89425.6619674805
1616,78602.33092121256
1617,91603.88354412124
1618,125055.88052384484
1619,138806.30349050666
1620,162550.46960601205
1621,137863.69909756354
1622,140482.65490748233
1623,273236.0327659494
1624,214755.2506772947
1625,116005.58826595017
1626,164473.28897393448
1627,188901.86532787795
1628,280669.0222400696
1629,178976.323050204
1630,349063.3449439009
1631,221464.7518603881
1632,239605.30486556684
1633,167833.31021569113
1634,183117.67571631543
1635,175126.14033572303
1636,152632.92007887672
1637,198224.95491140595
1638,183020.8859565215
1639,183117.6965789271
1640,248571.31255865388
1641,179715.33767520692
1642,237769.70250056154
1643,217754.98219028508
1644,232164.11157334413
1645,194169.47339413987
1646,158089.30424086496
1647,152426.9658808714
1648,132595.74206236162
1649,139703.48033880576
1650,118444.40198795313
1651,120824.11997657626
1652,97805.5908501439
1653,101204.59779109081
1654,143383.5959230745
1655,138691.4165936114
1656,143387.28610200447
1657,147808.5855558521
1658,145144.28892341137
1659,118349.39465537318
1660,153077.53969095062
1661,446434.7982034361
1662,398950.1470801985
1663,375704.7354764438
1664,514324.83004251966
1665,306661.75182673853
1666,322973.7949787237
1667,380209.83982095076
1668,337599.70702126034
1669,295798.19176680804
1670,339196.9982621223
1671,257431.91085941574
1672,439770.6639821082
1673,286132.4584805974
1674,240158.39188255536
1675,189066.03111275614
1676,193668.6780751891
1677,216148.52943962632
1678,467156.58718396805
1679,389938.0330700814
1680,337352.4922286836
1681,246755.94469750873
1682,309553.3485685052
1683,181557.20587100644
1684,174950.6710049722
1685,170168.68171717835
1686,167349.59393080065
1687,166103.748123503
1688,188594.3315076994
1689,191969.41213733377
1690,194574.09301867906
1691,183310.30082168579
1692,260732.76223973118
1693,168193.9458470492
1694,181029.7052213135
1695,161193.42301248809
1696,270672.1646493481
1697,166382.53069103122
1698,341776.1454660391
1699,310453.24706896784
1700,250478.62412879002
1701,272612.2071497631
1702,245477.51609674442
1703,245930.92576906303
1704,276249.55576727155
1705,230524.29992323494
1706,436725.6931604944
